	2.8797187 72.4014713	2.8058820 75.2062544	2.7388472 78.3383121	2.6776442 81.6739517	2.6213526 85.1403763	2.5692239 88.6977625	2.4752928 96.0144712	2.4327189 99.7599172	2.3926979 103.5604790	2.3550160 107.4156253	2.3194943 111.3250299	2.2859784 115.2881862	2.2543313 119.3042594	2.2244297 123.3720621	2.1961605 127.4900913	2.1694193 131.6565894	2.1441088 135.8696118	2.0974235 144.4268871	2.0758846 148.7668438	2.0554476 153.1448141	2.0176063 162.0064407	2.0000766 166.4860893	1.9833976 170.9957605	1.9675164 175.5336672	1.9523841 180.0981171	1.9379547 184.6875135	1.9241857 189.3003535	1.9110373 193.9352261	1.8984725 198.5908085	1.8864569 203.2658627	1.8749583 207.9592306	1.8639470 212.6698302	1.8533949 217.3966511	1.8432761 222.1387496
	2.8694474 70.4308763	2.7933079 73.2643822	2.7245047 76.4337008	2.6619631 79.8133058	2.6046649 83.3283381	2.5517818 86.9371063	2.4568698 94.3592492	2.4139889 98.1568164	2.3737456 102.0082990	2.3359068 105.9128294	2.3002787 109.8698916	2.2666954 113.8788939	2.2350113 117.9389878	2.2050962 122.0490210	2.1768317 126.2075559	2.1501092 130.4129196	2.1248283 134.6632617	2.0782246 143.2909334	2.0567341 147.6641613	2.0363488 152.0742422	1.9986167 160.9969496	1.9811431 165.5057251	1.9645205 170.0436757	1.9486956 174.6090787	1.9336191 179.2003011	1.9192449 183.8158001	1.9055302 188.4541227	1.8924352 193.1139034	1.8799227 197.7938612	1.8679582 202.4927959	1.8565096 207.2095847	1.8455469 211.9431775	1.8350422 216.6925932	1.8249696 221.4569151
	2.8591761 68.6219497	2.7807338 71.4771920	2.7101623 74.6762267	2.6462821 78.0922030	2.5879771 81.6485427	2.5343398 85.3018897	2.4384469 92.8176913	2.3952588 96.6624350	2.3547933 100.5604883	2.3167975 104.5106040	2.2810630 108.5120281	2.2474123 112.5640343	2.2156913 116.6657140	2.1857627 120.8159058	2.1575029 125.0131983	2.1307992 129.2559672	2.1055478 133.5424247	2.0590257 142.2387429	2.0375837 146.6446497	2.0172500 151.0864106	1.9796271 160.0697571	1.9622096 164.6076203	1.9456433 169.1739164	1.9298747 173.7669767	1.9148541 178.3852181	1.9005351 183.0271442	1.8868748 187.6913446	1.8738331 192.3764928	1.8613729 197.0813437	1.8494595 201.8047306	1.8380608 206.5455608	1.8271468 211.3028124	1.8166895 216.0755297	1.8066631 220.8628199
	2.8489048 66.9582932	2.7681597 69.8297130	2.6958199 73.0523780	2.6306010 76.4985255	2.5712894 80.0901499	2.5168978 83.7824151	2.4200240 91.3819864	2.3765288 95.2697269	2.3358410 99.2106662	2.2976883 103.2031470	2.2618473 107.2461414	2.2281293 111.3387506	2.1963712 115.4799679	2.1664291 119.6685877	2.1381741 123.9031915	2.1114891 128.1821738	2.0862673 132.5037824	2.0398268 141.2674067	2.0184332 145.7055759	1.9981512 150.1787464	1.9606375 159.2225709	1.9432761 163.7896063	1.9267662 168.3844283	1.9110539 173.0054129	1.8960891 177.6510191	1.8818253 182.3197893	1.8682193 187.0103492	1.8552310 191.7214059	1.8428231 196.4517452	1.8309608 201.2002287	1.8196120 205.9657901	1.8087467 210.7474318	1.7983369 215.5442205	1.7883566 220.3552839
	2.8386335 65.4257611	2.7555856 68.3089557	2.6814774 71.5503603	2.6149200 75.0216327	2.5546016 78.6435887	2.4994557 82.3700771	2.4016010 90.0451441	2.3577987 93.9723651	2.3168887 97.9530857	2.2785791 101.9852197	2.2426317 106.0674385	2.2088463 110.1986416	2.1770512 114.3776944	2.1470956 118.6033178	2.1188453 122.8740593	2.0921791 127.1883067	2.0669868 131.5443207	2.0206279 140.3742864	1.9992827 144.8444641	1.9790523 149.3489219	1.9416479 158.4533249	1.9243426 163.0497332	1.9078891 167.6733692	1.8922331 172.3226456	1.8773241 176.9960561	1.8631155 181.6921756	1.8495639 186.4096600	1.8366289 191.1472446	1.8242733 195.9037415	1.8124621 200.6780366	1.8011633 205.4690863	1.7903466 210.2759137	1.7799842 215.0976048	1.7700501 219.9333054
	2.8283623 64.0120922	2.7430115 66.9036006	2.6671350 70.1598381	2.5992389 73.6521500	2.5379139 77.3003838	2.4820137 81.0572204	2.3831781 88.8008975	2.3390687 92.7646597	2.2979364 96.7825659	2.2594699 100.8520892	2.2234160 104.9715819	2.1895633 109.1397194	2.1577312 113.3552158	2.1277621 117.6166950	2.0995164 121.9226475	2.0728690 126.2714336	2.0477062 130.6613072	2.0014290 139.5569958	1.9801322 144.0590784	1.9599535 148.5948397	1.9226583 157.7601669	1.9054091 162.3862581	1.8890120 167.0390982	1.8734122 171.7171295	1.8585591 176.4188735	1.8444057 181.1429318	1.8309084 185.8879854	1.8180268 190.6527930	1.8057235 195.4361888	1.7939635 200.2370792	1.7827145 205.0544397	1.7719465 209.8873111	1.7616315 214.7347962	1.7517436 219.5960559
	2.8180910 62.7066131	2.7304374 65.6037453	2.6527926 68.8717234	2.5835578 72.3817929	2.5212261 76.0530104	2.4645717 79.8370196	2.3647552 87.6436204	2.3203386 91.6414885	2.2789841 95.6944317	2.2403607 99.7994772	2.2042003 103.9546456	2.1702803 108.1583716	2.1384111 112.4091993	2.1084285 116.7056365	2.0801876 121.0460984	2.0535589 125.4288997	2.0284257 129.8522711	1.9822301 138.8133841	1.9609817 143.3474086	1.9408547 147.9146188	1.9036687 157.1414469	1.8864756 161.7976347	1.8701349 166.4801664	1.8545914 171.1875068	1.8397941 175.9181996	1.8256959 180.6708676	1.8122530 185.4442122	1.7994248 190.2370115	1.7871737 195.0481175	1.7754648 199.8764539	1.7642657 204.7210120	1.7535464 209.5808477	1.7432788 214.4550776	1.7334370 219.3428758
	2.8078197 61.4999951	2.7178633 64.4006954	2.6384501 67.6779993	2.5678768 71.2032199	2.5045384 74.8947722	2.4471296 78.7033774	2.3463322 86.5682555	2.3016086 90.5982365	2.2600318 94.6844634	2.2212514 98.8235168	2.1849847 103.0130777	2.1509973 107.2513281	2.1190911 111.5366277	2.0890950 115.8673530	2.0608588 120.2418281	2.0342489 124.6583078	2.0091452 129.1149849	1.9630312 138.1415218	1.9418312 142.7076566	1.9217559 147.3065829	1.8846791 156.5957072	1.8675421 161.2825045	1.8512578 165.9953079	1.8357706 170.7325994	1.8210292 175.4929393	1.8069861 180.2749670	1.7935975 185.0773997	1.7808227 189.8990308	1.7686238 194.7387271	1.7569661 199.5954261	1.7458169 204.4681321	1.7351463 209.3559135	1.7249262 214.2578985	1.7151305 219.1732719
	2.7975484 60.3840556	2.7052892 63.2867933	2.6241077 66.5715742	2.5521957 70.1099100	2.4878506 73.8196980	2.4296876 77.6508380	2.3279093 85.5702529	2.2828785 89.6307436	2.2410795 93.7488514	2.2021422 97.9207134	2.1657690 102.1436668	2.1317143 106.4156324	2.0997711 110.7347745	2.0697615 115.0993258	2.0415300 119.5075072	2.0149388 123.9575003	1.9898647 128.4474488	1.9438323 137.5396876	1.9226808 142.1382251	1.9026571 146.7692499	1.8656895 156.1216742	1.8486086 160.8396884	1.8323807 165.5834336	1.8169497 170.3514030	1.8022642 175.1421690	1.7882763 179.9543830	1.7749421 184.7867743	1.7622206 189.6381480	1.7500740 194.5073824	1.7384674 199.3934257	1.7273682 204.2952930	1.7167462 209.2120624	1.7065735 214.1428716	1.6968240 219.0869145
	2.7872772 59.3515940	2.6927151 62.2552744	2.6097652 65.5461591	2.5365147 69.0960580	2.4711629 72.8224540	2.4122455 76.6745135	2.3094864 84.6455172	2.2641485 88.7352591	2.2221272 92.8841577	2.1830330 97.0879115	2.1465533 101.3435130	2.1124312 105.6486159	2.0804510 110.0011810	2.0504279 114.3992875	2.0222012 118.8410425	1.9956288 123.3245444	1.9705842 127.8478770	1.9246334 137.0063577	1.9035303 141.6377072	1.8835583 146.3013225	1.8466999 155.7182504	1.8296751 160.4681807	1.8135036 165.2436243	1.7981289 170.0430810	1.7834992 174.8651308	1.7695665 179.7084332	1.7562866 184.5717259	1.7436185 189.4538225	1.7315242 194.3536097	1.7199687 199.2700442	1.7089194 204.2021488	1.6983461 209.1490096	1.6882208 214.1097717	1.6785175 219.0836359
